domain,input_domain,source,predicted_b2b,predicted_saas,last_b2b2_saas_refresh_timestamp,b2b_saas_version,predicted_hardware_component,predicted_annual,predicted_annual_reason,last_monthly_payments_refresh_timestamp,monthly_payments_version,last_prediction_list_name,linkedin_about_us,city,company_type,linkedin_employee_count_dynamic,linkedin_employee_count_static,scraped_linkedin_financing_last_round_date,scraped_linkedin_financing_last_round_raised,scraped_linkedin_financing_last_round_type,scraped_linkedin_financing_main_investor,scraped_linkedin_financing_rounds,scraped_linkedin_founded_year,scraped_linkedin_headline,scraped_linkedin_industry,scraped_linkedin_followers,scraped_linkedin_company_name,last_linkedin_refresh_timestamp,scraped_country,scraped_state,scraped_linkedin_id,scraped_linkedin_locations,scraped_linkedin_main_location,ocean_company_name,ocean_legal_name,ocean_country,ocean_employee_count,ocean_founded_year,ocean_description,ocean_web_traffic_bounced_rate,ocean_web_traffic_pages_per_visit,ocean_web_traffic_views,ocean_web_traffic_visits_count,ocean_linkedin_url,ocean_website,ocean_industries,last_ocean_refresh_timestamp,_synced,company_name,employee_count,linkedin_stub,linkedin_order,founded_year,industry,sub_industry,linkedin,last_funding_date,name_order,country
rollkall.com,rollkall.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing page does not explicitly mention any pricing options, including annual or monthly plans. It suggests contacting for more information, indicating that pricing details are not disclosed.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              RollKall is an off-duty platform that organizes the complex relationship between Coordinators, Law Enforcement Agencies, Officers, and their clients. We streamline every aspect of off-duty, from scheduling to payments, so agencies and officers can focus on what's most important: protecting and serving their communities.\n\nThe RollKall mobile app allows law enforcement officers to find off-duty jobs in their area and to clock-in/out of their shifts. We know finding extra duty jobs can be difficult, so we make it easy.\n",Irving,Privately Held,,51-200,,,,,,2013,Improve compliance and manage off-duty in a safe and transparent way while promoting officer well-being.,Law Enforcement,2481,RollKall,2025-01-10 17:15:26.420545 UTC,US,Texas,27239677,"[""600 E. Las Colinas Blvd., Suite 900, Irving, Texas 75039, US""]","600 E. Las Colinas Blvd., Suite 900, Irving, Texas 75039, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,RollKall,,,,2013,Law Enforcement,,https://linkedin.com/company/27239677,,1,United States
olytico.com,olytico.com,crunchbase,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              With headquarters in Dublin, Ireland, Olytico is a Social Media Monitoring and Analysis company. \n\nOur database contains over 70 billion comments, posts, tweets and articles, archived and indexed. \nOver 60 million new results are added every day.\n\nWe monitor and analyse news articles from online news sources across the globe. \nOur source listing contains over 200,000 publications.\n\nFind out more: http://olytico.com/\n",Dublin 2,Privately Held,,2-10,,,,,,2009,,Market Research,1398,Olytico,2025-01-10 17:15:26.420545 UTC,IE,Dublin 2,644098,"[""34 Fitzwilliam Square, Dublin 2, Dublin 2 Dublin, IE""]","34 Fitzwilliam Square, Dublin 2, Dublin 2 Dublin, IE",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Olytico,,,,2009,Market Research,,https://linkedin.com/company/644098,,1,Ireland
sonosuite.com,sonosuite.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"SonoSuite offers monthly pricing options starting at $199/month, along with the possibility of quarterly or annual payment options, indicating that they do not exclusively offer annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Since 2007, SonoSuite has been empowering media creators around the world to interact with a global audience. \nOur leading SonoSuite interface for independent content owners, record labels and distributors allows them to create, exchange and access their music and related data anywhere, anytime.\nOur software is developed in our main offices in Barcelona, Spain where a dedicated team works continuously to improve SonoSuite and add new features, staying on top of the latest developments in the Digital Music Business.\nWe work directly with artists, labels and distributors around the world and provide them with our white-label solution which allows them to run a branded digital distribution service on their own domain - maintaining full control of their digital music distribution.\nOur clients know best what their artists and labels need, and can attend to these needs locally. Using SonoSuite, they tap into our in-depth know-how of the digital supply chain enabling them to develop their catalogue management, distribution, marketing, licensing and royalty accounting activities.\nSonoSuite is connected to over 200 digital music services worldwide, delivering thousands of releases each month.\nSonoSuite has direct contracts with all leading Digital Music Services, is a Full DDEX member, and a licensing member of Merlin. \n",Barcelona,Privately Held,,51-200,,,,,,2007,The ultimate solution to manage and control your digital music distribution business under your own brand.,Musicians,4962,SonoSuite,2025-01-10 17:15:26.420545 UTC,ES,Barcelona,11183750,"[""trafalgar, 10, Barcelona, Barcelona 08010, ES""]","trafalgar, 10, Barcelona, Barcelona 08010, ES",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,SonoSuite,,,,2007,Musicians,,https://linkedin.com/company/11183750,,1,Spain
creyos.com,creyos.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Creyos (formerly Cambridge Brain Sciences) is a leading web-based platform for the assessment of brain health. It allows you to obtain accurate, quantified and scientifically-validated measures of key aspects of cognition, including short-term memory, attention, reasoning, and verbal ability. \n\nCreyos offers two core products – Creyos Health and Creyos Research. \n\nBuilt for health care practitioners, Creyos Health is an online brain health assessment service that takes seconds to set up, is engaging and enjoyable for patients, and produces a reliable and scientifically-validated cognitive assessment report in as little as 15 minutes. It is used by leading health care clinics around the world to track brain health over time as part of cognitive treatment and wellness plans. Healthcare providers using Creyos Health also have access to digital versions of many standardized patient health questionnaires.\n\nCreyos Research is made for researchers running studies on cognition in academic and commercial settings, allowing for the collection of cognitive data at scale. It has been used by many leading institutions, including Baycrest, Pfizer and Roche.  \n\nBoth products allow for assessment customization and online administration, require no expert technical support to administer and enable you to store and manage cognitive data securely in the cloud. Creyos maintains a global normative database of more than 85,000 participants (built off of our larger database of 12+ million completed cognitive tasks) that enables you to derive detailed comparisons of individuals to specific populations. \n\nThe Cambridge Brain Sciences (now Creyos) cognitive tasks were developed in the laboratory of Dr. Adrian Owen, Canada Excellence Research Chair in Cognitive Neuroscience and Imaging (owenlab.org), over the course of his 25-year career. Over 300 scientific studies have been run to date using our tests, yielding numerous publications in leading academic journals.\n",Toronto,Privately Held,90,51-200,,,,,,2014,"Making cognitive and behavioral health assessment accurate, efficient, and easy.",Hospitals and Health Care,21015,Creyos,2025-01-10 17:15:26.420545 UTC,CA,Ontario,10510569,"[""220 King St W, Suite 300, Toronto, Ontario M5H 1K4, CA""]","220 King St W, Suite 300, Toronto, Ontario M5H 1K4, CA",Creyos,,Canada,84,2014,"Creyos (formerly Cambridge Brain Sciences) is a leading web-based platform for the assessment of brain health. It allows you to obtain accurate, quantified and scientifically-validated measures of key aspects of cognition, including short-term memory, attention, reasoning, and verbal ability. 

Creyos offers two core products – Creyos Health and Creyos Research. 

Built for health care practitioners, Creyos Health is an online brain health assessment service that takes seconds to set up, is engaging and enjoyable for patients, and produces a reliable and scientifically-validated cognitive assessment report in as little as 15 minutes. It is used by leading health care clinics around the world to track brain health over time as part of cognitive treatment and wellness plans. Healthcare providers using Creyos Health also have access to digital versions of many standardized patient health questionnaires.

Creyos Research is made for researchers running studies on cognition in academic and commercial settings, allowing for the collection of cognitive data at scale. It has been used by many leading institutions, including Baycrest, Pfizer and Roche.  

Both products allow for assessment customization and online administration, require no expert technical support to administer and enable you to store and manage cognitive data securely in the cloud. Creyos maintains a global normative database of more than 85,000 participants (built off of our larger database of 12+ million completed cognitive tasks) that enables you to derive detailed comparisons of individuals to specific populations. 

The Cambridge Brain Sciences (now Creyos) cognitive tasks were developed in the laboratory of Dr. Adrian Owen, Canada Excellence Research Chair in Cognitive Neuroscience and Imaging (owenlab.org), over the course of his 25-year career. Over 300 scientific studies have been run to date using our tests, yielding numerous publications in leading academic journals.",37.92,5.66,155083,27400,https://www.linkedin.com/company/creyos,https://creyos.com/,"[{""name"":""Health Care"",""score"":1.0},{""name"":""Medical"",""score"":1.0},{""name"":""Clinical Trials"",""score"":0.9986209},{""name"":""Neuroscience"",""score"":0.9132998}]",2025-01-11 21:10:37.117284 UTC,2025-01-13 05:07:17.747740 UTC,Creyos,90,creyos,1,2014,Hospitals and Health Care,Medical,https://www.linkedin.com/company/creyos,,1,Canada
perfectserve.com,perfectserve.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,The pricing information is not explicitly stated and requires consultation with their consultants to determine costs based on specific needs and organization size.,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              PerfectServe accelerates speed to care by optimizing provider schedules, streamlining clinical communication, and engaging patients and their families in the care experience. Our cloud-based software simplifies complex clinical workflows and schedules with secure and timely communication by dynamically routing messages to the right person at the right time. We drive more efficient care collaboration in all settings to improve patient outcomes and bring joy back to caregivers. PerfectServe has more than 20 years of experience and is a trusted partner to more than 500 hospitals and 30,000 medical practices. See our open positions at perfectserve.com/careers.\n",Knoxville,Privately Held,,201-500,,,,,,1999,"Accelerating speed to care by optimizing provider schedules, streamlining clinical communication, and engaging patients.",Hospitals and Health Care,11884,PerfectServe,2025-01-10 17:15:26.420545 UTC,US,TN,131059,"[""2160 Lakeside Centre Way, Suite 300, Knoxville, TN 37922, US"",""Victoria, BC - British Columbia V8R1L4, CA"",""South San Francisco, California, US""]","2160 Lakeside Centre Way, Suite 300, Knoxville, TN 37922, US",PerfectServe,,United States,271,1999,"PerfectServe accelerates speed to care by optimizing provider schedules, streamlining clinical communication, and engaging patients and their families in the care experience. Our cloud-based software simplifies complex clinical workflows and schedules with secure and timely communication by dynamically routing messages to the right person at the right time. We drive more efficient care collaboration in all settings to improve patient outcomes and bring joy back to caregivers. PerfectServe has more than 20 years of experience and is a trusted partner to more than 500 hospitals and 30,000 medical practices. See our open positions at perfectserve.com/careers.",,,,,https://www.linkedin.com/company/perfectserve,https://www.perfectserve.com/,"[{""name"":""Health Care"",""score"":1.0},{""name"":""mHealth"",""score"":0.96595883},{""name"":""Medical"",""score"":0.9446971},{""name"":""Software"",""score"":0.86460763}]",2025-01-09 20:02:33.865123 UTC,2025-01-13 05:07:17.747740 UTC,PerfectServe,271,perfectserve,1,1999,Hospitals and Health Care,mHealth,https://www.linkedin.com/company/perfectserve,,1,United States
ablschools.com,ablschools.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              We’re on a mission to make the most of every minute, with scheduling that’s built to help reshape what’s possible for our schools, and each student within them.\n",Remote First,Privately Held,590,11-50,,,,,,2015,"We’re on a mission to make the most of every minute, with scheduling that’s built to help reshape what’s possible for o",Education Administration Programs,4407,Abl,2025-01-10 17:15:26.420545 UTC,US,Virginia,7790227,"[""Remote First, Virginia 22102, US""]","Remote First, Virginia 22102, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Abl,590,,,2015,Education Administration Programs,,https://linkedin.com/company/7790227,,1,United States
opilio.io,opilio.io,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              MAXIMIZING IMPACT & PROFITS FOR MENTAL HEALTH PROVIDERS\n\nUnlock GROWTH and EMPOWER your practice to THRIVE using organic and proven direct response marketing strategies\n\nAre you tired of:\n\nStagnant reimbursement rates that don’t reflect the value you provide?\n\nBeing ignored by payers when you try to negotiate better contracts?\n\nThe consolidation of your industry, making it harder to stay independent?\n\nYou know the incredible impact you’ve had on the lives of your clients. You’ve helped countless people heal and grow. Yet, despite your expertise and dedication, you may still find yourself struggling to:\n\nAttract and retain clients consistently\n\nBuild a profitable, sustainable practice\n\nBreak free from the control of payers and corporate systems\n\nYou’re not alone. And the solution is here.\n\nIntroducing Our Monthly Marketing Coaching Program\n\nOur program is specifically designed for mental health professionals like you. Through tailored guidance, actionable strategies, and a supportive community, we address these challenges head-on to help you thrive in any environment!\n\nTake Control of Your Revenue\n\nLearn how to implement value-driving credentialing, payer, and contract strategies along with proven negotiation tactics to maximize insurer reimbursement rates!\n\nAttract and Retain Your Ideal Clients\n\nWork with the people you help the most and maximize your impact to the world by getting absolute clarity on your specific niche and unique value proposition!\n\nGrow Your Practice Sustainably\n\nLearn organic marketing strategies that are easy and generally FREE to implement. Grow your practice sustainably without the need for big marketing budgets!\n\nWhy This Program?\n\t•\tAffordable: At just $49/month, this program is a cost-effective investment!\n\n\t•\tTailored for Mental Health Professionals: No generic advice here—everything is designed for the unique challenges in your field.\n\n\t•\tProven Results: Backed by years of experience!\n\nReach out for free webinar strategy seminar!\n\n\n",Fort Worth,Privately Held,2,2-10,,,,,,2024,Maximizing Impact & Profits for Mental Health Providers,Mental Health Care,113,Shepherd Gray,2025-01-10 17:15:26.420545 UTC,US,Texas,96657971,"[""Fort Worth, Texas 76109, US""]","Fort Worth, Texas 76109, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Shepherd Gray,2,,,2024,Mental Health Care,,https://linkedin.com/company/96657971,,1,United States
gatenox.com,gatenox.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing details are not explicitly provided, and it appears that users may need to contact the company for more information about the pricing options.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              \nGatenox has been designed specifically with the Web3.0 era in mind and seeks to unlock its full potential for businesses. By combining the best of decentralised and centralised technologies, Gatenox is the fastest, most secure and reliable way to generate trust between businesses, organisations and regulated entities - by generating near real-time verification.\n\nThanks to the network effect of our solution, the Gatenox Hub platform provides ongoing, accretive value to users and verifiers alike. As the platform’s understanding of those who use it increases, so too does the speed at which business can be executed. By designing our systems to meet your know-your-client (KYC) requirements, Gatenox is the world’s leading provider of compliance for the Web3.0 era.\n\n\n",London,Privately Held,10,11-50,,,,,,2022,"Fast, Networked and Tailored Corporate KYC",Information Services,,gatenox,2025-01-10 17:15:26.420545 UTC,GB,,77618389,"[""London, GB""]","London, GB",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,gatenox,10,,,2022,Information Services,,https://linkedin.com/company/77618389,,1,United Kingdom
totalmotion.co.uk,totalmotion.co.uk,crunchbase,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Total Motion Vehicle Management is the largest family run and privately owned fleet management and leasing provider in the UK. From our Leicestershire headquarters we provide complete, bespoke solutions to organisations throughout the UK and Europe, who operate fleets from 30 to in excess of 60,000 vehicles.\n\nWe are directly responsible for over 25,000 drivers in 14 countries on behalf of over 4,000 clients. Our fleet management consultancy service supports clients with a combined fleet size in excess of 460,000 vehicles across the world.\n\nKeeping our customers happy is an area of Business Total Motion find extremely meaningful. We place importance on making your leasing experience exciting, informative, and hassle-free. Our award-winning customer service team are passionate, friendly, and can tailor a quote to your requirements.\n\nWith many years of experience managing fleets from 30 to in excess of 60,000 vehicles, we are well equipped to look after your businesses motoring needs. We also provide market-leading prices over a huge range of vehicles and models for Business and Personal Contract Hire.\n\nWebsite: https://www.totalmotion.co.uk\n",Leicester,Privately Held,38,51-200,,,,,,1998,The Leading Fleet Management And Leasing Provider In The UK!,Motor Vehicle Manufacturing,3293,Total Motion Vehicle Management,2025-01-10 17:15:26.420545 UTC,GB,Leicestershire,3478023,"[""Meridian Business Park, Leicester, Leicestershire LE19 1WP, GB""]","Meridian Business Park, Leicester, Leicestershire LE19 1WP, GB",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Total Motion Vehicle Management,38,,,1998,Motor Vehicle Manufacturing,,https://linkedin.com/company/3478023,,1,United Kingdom
netrunk.com,netrunk.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Netenrich is redefining security operations with a proactive, shift-left approach. Our Adaptive MDR solution, powered by Resolution Intelligence Cloud™ technology, leverages artificial intelligence and big data to deliver customized experiences and data-driven results for every customer. With a focus on agility and innovation, our solution evolves with your changing needs, and brings you a step closer to achieving autonomic operations. As a trusted Google partner, specializing in Chronicle SecOps, we’ve transformed hundreds of companies across various sectors, including healthcare, finance, and technology. From our global hubs, we provide 24/7 proactive uninterrupted operations, peak performance, and peace of mind.\n",San Jose,Privately Held,,"501-1,000",,,,,,2004,"Redefining security ops with proactive, shift-left approach",Data Security Software Products,33080,"Netenrich, Inc.",2025-01-10 17:15:26.420545 UTC,US,California,56305,"[""2590 N 1st St, San Jose, California 95131, US"","""",""23rd floor OneWest building, Survey No. 88/EE, 88/A, Nanakaramguda, Telangana 500008, IN"",""6900 Dallas Pkwy, Plano, Texas 75024, US"",""WeWork Prestige Central, 5th Floor, #36, Infantry Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, IN"",""Bhimavaram, Andhra Pradesh 534243, IN""]","2590 N 1st St, San Jose, California 95131, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,"Netenrich, Inc.",,,,2004,Data Security Software Products,,https://linkedin.com/company/56305,,1,United States
helloendless.com,helloendless.com,website,true,true,2025-01-10 17:01:34.171230 UTC,1,true,Not disclosed,"The pricing information is not provided on the page, and it suggests contacting for a proposal, indicating that details about payment options are not disclosed.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              How do you create the equation for a perfect event? You call the Einsteins of the industry! Whether virtual, hybrid, or in-person, the Endless Events team knows just what it takes to create a flawlessly executed experience. We are a comprehensive event management company who can help you plan, design, execute, analyze, and exceed your own expectations for your next event.\n",New York,Privately Held,,51-200,,,,,,2007,How do you create the equation for a perfect event? You call the Einsteins of the industry!,Events Services,3554,Endless Events,2025-01-10 17:15:26.420545 UTC,US,New York,2628013,"[""228 Park Ave S, #82963, New York, New York 10003-1502, US"",""PO Box 105603 #82963, Atlanta, Georgia 30348-5603, US"",""177 Huntington Ave, Ste 1703 #82963, Boston, Massachusetts 02115, US"",""PO Box 30667 #82963, Charlotte, North Carolina 28230-0667, US"",""1608 S Ashland Ave, #82963, Chicago, Illinois 60608, US"",""PO Box 660675 #82963, Dallas, Texas 75266-0675, US"",""1624 Market St, Ste 226 #82963, Denver, Colorado 80202, US"",""PO Box 441130 #82963, Detroit, Michigan 48244-1130, US"",""337 Garden Oaks Blvd, #82963, Houston, Texas 77018, US"",""5940 S Rainbow Blvd, Ste 400 #82963, Las Vegas, Nevada 89118, US"",""PO Box 515381 #82963, Los Angeles, California 90051-6681, US"",""382 NE 191st St, #82963, Miami, Florida 33179, US"",""12630 Old Hickory Blvd, #82963, Antioch, Tennessee 37013, US"",""PO Box 10188 #82963, Newark, New Jersey 07101-3188, US"",""3014 Dauphine St, Ste A #82963, New Orleans, Louisiana 70117, US"",""11551 Markon Dr, #82963, Garden Grove, California 92841, US"",""1060 Woodcock Rd, Ste 128 #82963, Orlando, Florida 32803, US"",""PO Box 37635 #82963, Philadelphia, Pennsylvania 19101-0635, US"",""11201 N Tatum Blvd, Ste 300 #82963, Phoenix, Arizona 85028, US"",""9450 SW Gemini Dr, #82963, Beaverton, Oregon 97008, US"",""21750 Hardy Oak Blvd, Ste 104 #82963, San Antonio, Texas 78258, US"",""237 A St, #82963, San Diego, California 92101, US"",""548 Market St, #82963, San Francisco, California 94104, US"",""113 Cherry St, #82963, Seattle, Washington 98104, US"",""PO Box 96503, #82963, Washington, DC 20090-6503, US""]","228 Park Ave S, #82963, New York, New York 10003-1502, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Endless Events,,,,2007,Events Services,,https://linkedin.com/company/2628013,,1,United States
anvyl.com,anvyl.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,\n              Aerospace and Defense Solutions Forge\n,Denver,Privately Held,7,2-10,,,,,,2022,Aerospace and defense engineering services and consulting.,Defense & Space,167,Anvyl Technologies,2025-01-10 17:15:26.420545 UTC,US,CO,82537748,"[""Denver, CO, US""]","Denver, CO, US",Anvyl,"Anvyl, Inc.",United States,26,2017,"Anvyl connects global supply chain teams, systems and suppliers to improve collaboration and decision making from PO issuance through to warehouse delivery. As teams and technology communicate, real-time access to critical information is released as it happens, drastically improving visibility across the network.

Through powerful automations, Anvyl maximizes efficiencies by doing the work of automating manual tasks and redundant processes to smoothly transition through order milestones. With intelligent PO management, our supply chain teams can harness the power of their own data to surface key insights and trends to make smarter decisions and know when to take action.",64.54,2.79,47987,17200,https://www.linkedin.com/company/anvyl,https://anvyl.com/,"[{""name"":""SaaS"",""score"":1.0},{""name"":""Software"",""score"":1.0},{""name"":""Supply Chain Management"",""score"":0.9999995},{""name"":""Information Technology"",""score"":0.99999404},{""name"":""Analytics"",""score"":0.9999553},{""name"":""Enterprise Software"",""score"":0.9998284},{""name"":""Real Time"",""score"":0.9992411},{""name"":""Internet of Things"",""score"":0.9926994},{""name"":""Business Intelligence"",""score"":0.83636606}]",2024-12-19 21:31:49.153721 UTC,2025-01-13 05:07:17.747740 UTC,Anvyl Technologies,7,anvyl,1,2022,Defense & Space,Software,https://www.linkedin.com/company/anvyl,,1,United States
bdex.com,bdex.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers monthly pricing options starting at $250 per month, along with other tiers, indicating that they do not exclusively offer annual pricing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Established in 2014, BDEX is a 3-time Inc 5000 company with identity at its core. Our Omni IQ suite of solutions for identity and custom audience development have won multiple awards. We empower companies to succeed with best-in-class identity solutions and AI powered extended audience technology that uses your 1st party data to reach the right people at the right time.\n",Miami,Privately Held,13,11-50,,,,,,2014,"Powerful identity solutions, custom audience development and AI powered audience extension using 1st party data.",Information Services,1513,BDEX,2025-01-10 17:15:26.420545 UTC,US,Florida,4801793,"[""18117 Biscayne Blvd, #2575, Miami, Florida 33160, US""]","18117 Biscayne Blvd, #2575, Miami, Florida 33160, US","Bdex, LLC","Bdex, LLC",United States,7,2014,"Established in 2014, BDEX is a 3-time Inc 5000 company with identity at its core. Our Omni IQ suite of cookieless solutions for identity and custom audience development have won multiple awards. We empower companies to succeed with best-in-class identity solutions and AI powered extended audience technology that uses your 1st party data to reach the right people at the right time.",,,,,https://www.linkedin.com/company/bdex,https://www.bdex.com/,"[{""name"":""Analytics"",""score"":1.0},{""name"":""Big Data"",""score"":0.9999999},{""name"":""Marketing"",""score"":0.999995},{""name"":""Data Visualization"",""score"":0.9998673},{""name"":""SaaS"",""score"":0.9998567},{""name"":""Business Intelligence"",""score"":0.9991567},{""name"":""Marketing Automation"",""score"":0.9894842},{""name"":""Personalization"",""score"":0.9870721},{""name"":""Data Integration"",""score"":0.9744477},{""name"":""B2B"",""score"":0.93687165},{""name"":""Identity Management"",""score"":0.85208744},{""name"":""Market Research"",""score"":0.7475854},{""name"":""Consumer Research"",""score"":0.7223408},{""name"":""Data Mining"",""score"":0.5762265},{""name"":""Advertising"",""score"":0.35893226},{""name"":""Predictive Analytics"",""score"":0.33692318}]",2024-12-19 19:55:11.819270 UTC,2025-01-13 05:07:17.747740 UTC,BDEX,13,bdex,1,2014,Information Services,Big Data,https://www.linkedin.com/company/bdex,,1,United States
hart3s.com,hart3s.com,clientdb,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information for the trainings is not provided, and it suggests contacting them for more details, indicating that pricing options are not disclosed.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              The Harm Reduction Treatment, Training and Technical Solutions (HaRT3S) social purpose corporation was created to provide information and training systems to substance-use treatment and other service providers using evidence-based and culturally-appropriate means of reducing substance-related harm and improve quality of life for their clients and their communities.\n",,Privately Held,5,2-10,,,,,,2020,"Harm Reduction Treatment, Training & Technical Solutions",Professional Training and Coaching,,HaRT3S,2025-01-10 17:15:26.420545 UTC,,,95701397,[],,,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,HaRT3S,5,,,2020,Professional Training and Coaching,,https://linkedin.com/company/95701397,,1,
homerun-app.com,homerun-app.com,externally_provided,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information is not provided on the page, and there is no mention of annual or other billing options.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              We are an award-winning tech company whose innovative products quantify, analyse, and improve school travel. We create data-driven understanding and change transport behaviours to create a healthier and more sustainable school run.\n",London,Privately Held,5,2-10,,,,,,2016,Transforming the school run through innovation,Environmental Services,224,HomeRun App,2025-01-10 17:15:26.420545 UTC,GB,London,11826233,"[""256 -260 Old Street, Grange Gardens, London, London EC1V 9DD, GB""]","256 -260 Old Street, Grange Gardens, London, London EC1V 9DD, GB",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,HomeRun App,5,,,2016,Environmental Services,,https://linkedin.com/company/11826233,,1,United Kingdom
tambor.ai,tambor.ai,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              We are Tambor, an AI marketing platform designed to help marketers quickly create impactful content and provide business leaders with clear, actionable insights for smarter marketing decisions. Here's what we do:\n\n💡 Uncover the Best Marketing Opportunities: We use ai to analyze vast amounts of data to identify the most promising marketing opportunities.\n\n📍 Personalized Marketing: Our AI helps brands create personalized marketing campaigns tailored to each audience segment.\n\n🤝 Partnerships and Influencers: We assist brands in finding the best partners and influencers to deliver impactful marketing to the right audiences.\n\n📋 Actionable Content Briefs: We translate complex data into clear, actionable content briefs for creative teams.\n\n🌟 Scalable Messaging: Our platform helps brands quickly scale personalized messaging that stays true to their brand guidelines.\n\n🌎 Identify New Audiences: We identify new audience opportunities to expand your reach.\n\n♟️ Expert Strategy: We've brought together leading marketers, machine intelligence specialists, and data scientists from around the world to continually optimize your marketing strategy.\n\nFuture Roadmap:\n\n🤖 Automated Task Delegation: Orchestrate marketing execution through automated task delegation.\n\n🗂️ Content Organization: Auto-tag and organize all content for easy, full-team access.\n\n📊 ROI-Calibrated Campaign Execution: Execute campaigns with precision, calibrated for the best ROI.\n\n📧 AI-Powered CRM: Enhance customer relationship management with AI-driven insights and tools.\n\n✅ Get a free audience insight report -> https://tambor.ai/\n",Los Angeles,Privately Held,9,11-50,,,,,,2024,Transform data into instant marketing opportunities with AI.,Marketing Services,,Tambor AI,2025-01-10 17:15:26.420545 UTC,US,,103314295,"[""Los Angeles, US""]","Los Angeles, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Tambor AI,9,,,2024,Marketing Services,,https://linkedin.com/company/103314295,,1,United States
